,,Darlington Transistors,,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Polarity,Package Type,PD (W),VCEO(V),IC (A),HFE [min],HFE [max],"VCE(sat) [max]
(V)",fT(MHz),Tj [max] (°C)
,,,,,,,,,,,,,,
MCC (Micro Commercial Components),MMBTA13,Active,R H,Single,NPN,SOT-23,0.225,30,0.3,5000,,1.5,125,150
MCC (Micro Commercial Components),MMBTA14,Active,R H,Single,NPN,SOT-23,0.225,30,0.3,10000,,1.5,125,150
MCC (Micro Commercial Components),MMBTA28,Active,R H,Single,NPN,SOT-23,0.2,80,0.5,10000,,1.5,125,150
MCC (Micro Commercial Components),MJD127,Active,R H,Single,PNP,DPAK,1.5,-100,-8,1000,12000,-2,,150
MCC (Micro Commercial Components),MJD122,Active,R H,Single,NPN,DPAK,1.5,100,8,1000,12000,2,,150
MCC (Micro Commercial Components),BCV47,Active,R H,Single,NPN,SOT-23,0.3,60,0.5,2000,,1,170,150
MCC (Micro Commercial Components),TIP127L,Active,R,Single,PNP,TO-220,2,-100,-5,1000,,-2,0,150
MCC (Micro Commercial Components),TIP122L,Active,R,Single,NPN,TO-220,65,100,5,1000,,2,0,150
MCC (Micro Commercial Components),MMBTA28L,Active,R H,Single,NPN,SOT-23-3L,0.2,80,0.5,10000,,1.2,125,150
MCC (Micro Commercial Components),TIP122S,Active,R,Single,NPN,TO-220,65,100,5,1000,2,2.5,,150
MCC (Micro Commercial Components),MJD122S,Active,R H,Single,NPN,DPAK,1.5,100,5,1000,12000,2,,150
