Manufacture,Product,Status,Compliance,Number of Functions,Package Type,IF(AV)(A),VRWM (V),VF (V) [max]@IF(A),IR (uA) [max] @ VR,IFSM (A),IF(A),VR (V),Tj [max] (°C)
MCC (Micro Commercial Components),GBU1016,Preferred,R H,1-Phase Bridge,GBU,10,1600,1.05,5,150,5,1600,150
MCC (Micro Commercial Components),GBU2516,Preferred,R H,1-Phase Bridge,GBU,25,1600,1.1,5,280,12.5,1600,150
MCC (Micro Commercial Components),GBU3516,Preferred,R H,1-Phase Bridge,GBU,35,1600,1.05,5,450,17.5,1600,150
MCC (Micro Commercial Components),GBU5016,Preferred,R H,1-Phase Bridge,GBU,50,1600,1.05,5,500,25,1600,150
MCC (Micro Commercial Components),GBU3016,Preferred,R H,1-Phase Bridge,GBU,30,1600,1.05,5,350,15,1600,150
MCC (Micro Commercial Components),TBL1008E,Preferred,R H,1-Phase Bridge,TBL,10,800,0.92,5,160,5,800,150
MCC (Micro Commercial Components),TBL808EA,Preferred,R H,1-Phase Bridge,TBL,8,800,0.90,5,160,4,800,150
MCC (Micro Commercial Components),KBJ806GL,Preferred,R H,1-Phase Bridge,KBJ,8,600,0.92,5,175,4,600,150
MCC (Micro Commercial Components),KBJ808GL,Preferred,R H,1-Phase Bridge,KBJ,8,800,0.92,5,175,4,800,150
MCC (Micro Commercial Components),KBJ2010G,Preferred,R H,1-Phase Bridge,KBJ,20,1000,1.0,5,250,10,1000,150
MCC (Micro Commercial Components),KBJ1506GL,Preferred,R H,1-Phase Bridge,KBJ,15,600,0.92,5,250,7.5,600,150
MCC (Micro Commercial Components),KBJ1508GL,Preferred,R H,1-Phase Bridge,KBJ,15,800,0.92,5,250,7.5,800,150
MCC (Micro Commercial Components),KBJ406GL,Preferred,R H,1-Phase Bridge,KBJ,4,600,0.92,5,135,2,600,150
MCC (Micro Commercial Components),KBJ408GL,Preferred,R H,1-Phase Bridge,KBJ,4,800,0.92,5,135,2,800,150
MCC (Micro Commercial Components),KBJ416GS,Active,R H,1-Phase Bridge,KBJ,4,1600,1.0,5,120,2,1600,150
MCC (Micro Commercial Components),GBPC3512,Active,R,1-Phase Bridge,GBPC,35,1200,1.1,5,450,17.5,1200,150
MCC (Micro Commercial Components),GBPC3512W,Active,R,1-Phase Bridge,GBPC-W,35,1200,1.1,5,450,17.5,1200,150
MCC (Micro Commercial Components),GBPC5010L,Active,R,1-Phase Bridge,GBPC-L,50,1000,1.1,5,500,25,1000,150
MCC (Micro Commercial Components),S50VB160DT,Active,R,1-Phase Bridge,S50VB DT,50,1600,1.05,5,500,25,1600,150
MCC (Micro Commercial Components),S50VB100DT,Active,R,1-Phase Bridge,S50VB DT,50,1000,1.05,5,500,25,1000,150
MCC (Micro Commercial Components),PB86,Active,R,1-Phase Bridge,PB-10,8,600,1.1,10,220,4,600,125
MCC (Micro Commercial Components),PB810,Active,R,1-Phase Bridge,PB-10,8,1000,1.1,10,220,4,1000,125
MCC (Micro Commercial Components),BR106,Active,R,1-Phase Bridge,PB-6,10,600,1.1,10,150,5,600,150
MCC (Micro Commercial Components),BR108,Active,R,1-Phase Bridge,PB-6,10,800,1.1,10,150,5,800,150
MCC (Micro Commercial Components),BR1010,Active,R,1-Phase Bridge,PB-6,10,1000,1.1,10,150,5,1000,150
MCC (Micro Commercial Components),GBPC5004,Active,R,1-Phase Bridge,GBPC,50,400,1.1,5,500,25,400,150
MCC (Micro Commercial Components),GBPC5006,Active,R,1-Phase Bridge,GBPC,50,600,1.1,5,500,25,600,150
MCC (Micro Commercial Components),GBPC5008,Active,R,1-Phase Bridge,GBPC,50,800,1.1,5,500,25,800,150
MCC (Micro Commercial Components),GBPC5010,Active,R,1-Phase Bridge,GBPC,50,1000,1.1,5,500,25,1000,150
MCC (Micro Commercial Components),GBPC2506W,Active,R,1-Phase Bridge,GBPC-W,25,600,1.1,5,300,12.5,600,150
MCC (Micro Commercial Components),GBPC2508W,Active,R,1-Phase Bridge,GBPC-W,25,800,1.1,5,300,12.5,800,150
MCC (Micro Commercial Components),GBPC2510W,Active,R,1-Phase Bridge,GBPC-W,25,1000,1.1,5,300,12.5,1000,150
MCC (Micro Commercial Components),GBPC1506,Active,R,1-Phase Bridge,GBPC,15,600,1.1,5,250,7.5,600,150
MCC (Micro Commercial Components),GBPC1508,Active,R,1-Phase Bridge,GBPC,15,800,1.1,5,250,7.5,800,150
MCC (Micro Commercial Components),GBPC1510,Active,R,1-Phase Bridge,GBPC,15,1000,1.1,5,250,7.5,1000,150
MCC (Micro Commercial Components),GBPC3506W,Active,R,1-Phase Bridge,GBPC-W,35,600,1.1,5,400,17.5,600,150
MCC (Micro Commercial Components),GBPC3508W,Active,R,1-Phase Bridge,GBPC-W,35,800,1.1,5,400,17.5,800,150
MCC (Micro Commercial Components),GBPC3510W,Active,R,1-Phase Bridge,GBPC-W,35,1000,1.1,5,400,17.5,1000,150
MCC (Micro Commercial Components),GBPC5012H,Active,R,1-Phase Bridge,GBPC-H,50,1200,1.1,5,500,25,1200,150
MCC (Micro Commercial Components),GBPC5008H,Active,R,1-Phase Bridge,GBPC-H,50,800,1.1,5,500,25,800,150
MCC (Micro Commercial Components),GBPC5010H,Active,R,1-Phase Bridge,GBPC-H,50,1000,1.1,5,500,25,1000,150
MCC (Micro Commercial Components),PB610,Active,R,1-Phase Bridge,PB-6,6,1000,1,10,150,3,1000,150
MCC (Micro Commercial Components),PB66,Active,R,1-Phase Bridge,PB-6,6,600,1,10,150,3,600,150
MCC (Micro Commercial Components),PB68,Active,R,1-Phase Bridge,PB-6,6,800,1,10,150,3,800,150
MCC (Micro Commercial Components),RS1005,Active,R,1-Phase Bridge,RS-6,10,600,1,10,250,5,600,150
MCC (Micro Commercial Components),RS1006,Active,R,1-Phase Bridge,RS-6,10,800,1,10,250,5,800,150
MCC (Micro Commercial Components),RS1007,Active,R,1-Phase Bridge,RS-6,10,1000,1,10,250,5,1000,150
MCC (Micro Commercial Components),RS605,Active,R,1-Phase Bridge,RS-6,6,600,1.1,10,200,3,600,150
MCC (Micro Commercial Components),RS606,Active,R,1-Phase Bridge,RS-6,6,800,1.1,10,200,3,800,150
MCC (Micro Commercial Components),RS607,Active,R,1-Phase Bridge,RS-6,6,1000,1.1,10,200,3,1000,150
MCC (Micro Commercial Components),RS805,Active,R,1-Phase Bridge,RS-6,8,600,1.1,10,300,4,600,150
MCC (Micro Commercial Components),RS806,Active,R,1-Phase Bridge,RS-6,8,800,1.1,10,300,4,800,150
MCC (Micro Commercial Components),RS807,Active,R,1-Phase Bridge,RS-6,8,1000,1.1,10,300,4,1000,150
MCC (Micro Commercial Components),GBU4J,Active,R H,1-Phase Bridge,GBU,4,600,1,5,135,2,600,150
MCC (Micro Commercial Components),GBU4K,Active,R H,1-Phase Bridge,GBU,4,800,1,5,135,2,800,150
MCC (Micro Commercial Components),GBU4M,Active,R H,1-Phase Bridge,GBU,4,1000,1,5,135,2,1000,150
MCC (Micro Commercial Components),GBU6J,Active,R H,1-Phase Bridge,GBU,6,600,1,5,175,3,600,150
MCC (Micro Commercial Components),GBU6K,Active,R H,1-Phase Bridge,GBU,6,800,1,5,175,3,800,150
MCC (Micro Commercial Components),GBU6M,Active,R H,1-Phase Bridge,GBU,6,1000,1,5,175,3,1000,150
MCC (Micro Commercial Components),GBU8J,Active,R H,1-Phase Bridge,GBU,8,600,1,5,220,4,600,150
MCC (Micro Commercial Components),GBU8K,Active,R H,1-Phase Bridge,GBU,8,800,1,5,220,4,800,150
MCC (Micro Commercial Components),GBU8M,Active,R H,1-Phase Bridge,GBU,8,1000,1,5,220,4,1000,150
MCC (Micro Commercial Components),GBU10B,Active,R H,1-Phase Bridge,GBU,10,100,1,5,240,5,100,150
MCC (Micro Commercial Components),GBU10D,Active,R H,1-Phase Bridge,GBU,10,200,1,5,240,5,200,150
MCC (Micro Commercial Components),GBU10J,Active,R H,1-Phase Bridge,GBU,10,600,1,5,240,5,600,150
MCC (Micro Commercial Components),GBU10K,Active,R H,1-Phase Bridge,GBU,10,800,1,5,240,5,800,150
MCC (Micro Commercial Components),GBU10M,Active,R H,1-Phase Bridge,GBU,10,1000,1,5,240,5,1000,150
MCC (Micro Commercial Components),GBU15J,Active,R H,1-Phase Bridge,GBU,15,600,1,5,240,7.5,600,150
