Manufacture,Product,Status,Compliance,Number of Functions,Polarity,Package Type,PD (W),VCEO(V),IC (A),HFE [min],HFE [max],VCE(sat) [max] (V),fT(MHz),Tj [max] (°C)
MCC (Micro Commercial Components),FMMT4350ZHE3,Preferred,A R H,Single,NPN,SOT-223,0.65,50,3,200,,0.29,100,150
MCC (Micro Commercial Components),FMMT5350XHE3,Preferred,A R H,Single,PNP,SOT-89,0.5,-50,-3,200,,-0.09,100,150
MCC (Micro Commercial Components),MJD45C,Active,R H,Single,PNP,DPAK,1.25,-80,-8,60,,-1,,150
MCC (Micro Commercial Components),MJD42CHE3,Active,A R H,Single,PNP,DPAK,1.5,-100,-6,15,75,-1.5,3,150
MCC (Micro Commercial Components),MJD32CHE3,Active,A R H,Single,PNP,DPAK,1.25,-100,-3,10,75,-1.2,3,150
MCC (Micro Commercial Components),MJD32C,Active,R H,Single,PNP,DPAK,1.25,-100,-3,10,50,-1.2,3,150
MCC (Micro Commercial Components),2SB1184-Q,Active,R H,Single,PNP,DPAK,1,-50,-3,120,270,-1,70,150
MCC (Micro Commercial Components),2SB1412-R,Active,R H,Single,PNP,DPAK,1,-30,-5,180,390,-1,120,150
MCC (Micro Commercial Components),MJD122,Active,R H,Single,NPN,DPAK,1.5,100,8,1000,12000,2,,150
MCC (Micro Commercial Components),MJD122S,Active,R H,Single,NPN,DPAK,1.5,100,5,1000,12000,2,,150
MCC (Micro Commercial Components),TIP122L,Active,R,Single,NPN,TO-220,65,100,5,1000,,2,0,150
MCC (Micro Commercial Components),TIP122S,Active,R,Single,NPN,TO-220,65,100,5,1000,2,2.5,,150
MCC (Micro Commercial Components),TIP127L,Active,R,Single,PNP,TO-220,2,-100,-5,1000,,-2,0,150
MCC (Micro Commercial Components),MJD127,Active,R H,Single,PNP,DPAK,1.5,-100,-8,1000,12000,-2,,150
MCC (Micro Commercial Components),FMMT304NZHE3,Active,A R H,Single,NPN,SOT-223,1,60,5.2,300,,0.28,100,150
MCC (Micro Commercial Components),BCP54-16,Active,R H,Single,NPN,SOT-223,1.5,45,1,100,250,0.5,100,150
MCC (Micro Commercial Components),BCP55-16,Active,R H,Single,NPN,SOT-223,1.5,60,1,100,250,0.5,100,150
MCC (Micro Commercial Components),BCP56-16,Active,R H,Single,NPN,SOT-223,1.5,80,1,100,250,0.5,100,150
MCC (Micro Commercial Components),PZT2222A,Active,R H,Single,NPN,SOT-223,1,40,0.6,100,300,0.3,300,150
MCC (Micro Commercial Components),PZT3904,Active,R H,Single,NPN,SOT-223,1,40,0.2,100,300,0.2,300,150
MCC (Micro Commercial Components),PZT5551,Active,R H,Single,NPN,SOT-223,1,160,0.6,80,,0.15,300,150
MCC (Micro Commercial Components),PZTA42,Active,R H,Single,NPN,SOT-223,1,300,0.2,25,,0.5,50,150
MCC (Micro Commercial Components),PZTA44,Active,R H,Single,NPN,SOT-223,1,400,0.2,50,200,0.5,20,150
MCC (Micro Commercial Components),BCP56-16HE3,Active,A R H,Single,NPN,SOT-223,1.5,80,1,100,250,0.5,100,150
MCC (Micro Commercial Components),FMMT4350Z,Active,R H,Single,NPN,SOT-223,0.5,50,3,200,,0.29,150,150
MCC (Micro Commercial Components),FMMT306NZ,Active,R H,Single,NPN,SOT-223,0.5,100,5.1,200,,0.245,100,150
MCC (Micro Commercial Components),FMMT304NZ,Active,R H,Single,NPN,SOT-223,1,60,5.2,300,,0.28,140,150
MCC (Micro Commercial Components),FMMT304PZ,Active,R H,Single,PNP,SOT-223,0.5,-60,-4.5,200,,-0.375,130,150
MCC (Micro Commercial Components),FMMT5350Z,Active,R H,Single,PNP,SOT-223,0.5,-50,-3,200,,-0.3,150,150
MCC (Micro Commercial Components),BCP53-16HE3,Active,A R H,Single,PNP,SOT-223,1.5,-80,-1,100,250,-0.5,100,150
