Manufacture,Product,Status,Compliance,Number of Functions,Channel,Package Type,Drain-Source Voltage VDS (V),Gate-Source Voltage VGS (V),Drain Current ID (A),Drain-Source On-Resistance RDS(ON) Max @VGS=10V (Ω),Drain-Source On-Resistance RDS(ON) Max @VGS=4.5V (Ω),Drain-Source On-Resistance RDS(ON) Max @VGS=2.5V (Ω),Gate Threshold Voltage VGS(th) Min (V),Gate Threshold Voltage VGS(th) Max (V),ESD Diodes,Junction Temperature Tj [max] (°C),Single Pulsed Avalanche Energy EAS(mJ),Pulsed Drain Current IDM(A)
MCC (Micro Commercial Components),MCACD018N10YLQ,Preferred,A R H,Dual,N+N,PDFN5060-8D,100,±20,40,0.018,0.023,,1.3,2.3,No,175,51,160
MCC (Micro Commercial Components),MCACD5D2N04YLHE3,Preferred,A R H,Dual,N+N,PDFN5060-8D,40,±20,90,0.0052,0.0092,,1.2,2.5,No,175,56,240
MCC (Micro Commercial Components),MCACD014N10YHE3,Preferred,A R H,Dual,N+N,PDFN5060-8D,100,±20,50,0.014,,,1.0,3.0,No,150,49,200
MCC (Micro Commercial Components),MCACD012N06YLHE3,Preferred,A R H,Dual,N+N,PDFN5060-8D,60,±20,52,0.012,0.016,,1.3,2.4,No,175,36,208
MCC (Micro Commercial Components),MCACD6D3N06Y,Preferred,R H,Dual,N+N,PDFN5060-8D,60,±20,60,0.0063,,,2,4,No,175,121,240
MCC (Micro Commercial Components),MCACD8D5N06YL,Preferred,R H,Dual,N+N,PDFN5060-8D,60,±20,50,0.0085,0.011,,1,2.5,No,150,88,200
MCC (Micro Commercial Components),MCAC130N04Y,Preferred,R H,Single,N,PDFN5060,40,±20,130,0.0019,0.0025,,1.2,2.5,No,175,661,520
MCC (Micro Commercial Components),MCAC9D5N06YLHE3,Preferred,A R H,Single,N,DFN5060,60,±20,52,0.0095,0.014,,1.3,2.3,No,175,49,208
MCC (Micro Commercial Components),MCACLS1D6N06YH,Preferred,R H,Single,N,PDFN5060-DSC-B,60,±20,300,0.00168,,,2,4,No,175,670,1200
MCC (Micro Commercial Components),MCG4D5N04YL,Preferred,R H,Single,N,PDFN3333,40,±20,80,0.0045,0.008,,1,2.5,No,175,54,320
MCC (Micro Commercial Components),MCAC2D6N04YHE3,Preferred,A R H,Single,N,DFN5060,40,±20,166,0.0026,,,2,4,No,175,182,664
MCC (Micro Commercial Components),MCAC2D9N04YHQ,Preferred,A R H,Single,N,DFN5060,40,±20,145,0.0029,,,2,4,No,175,210,580
MCC (Micro Commercial Components),MCACLD70N04Y,Preferred,R H,Single,N,DFN5060-C,40,±20,350,0.0007,,,2,4,No,175,600,1400
MCC (Micro Commercial Components),MCGWF018N10YLQ,Preferred,A R H,Single,N,DFN3333-8(SWF),100,±20,40,0.018,0.023,,1.3,2.3,No,175,67,160
MCC (Micro Commercial Components),MCAC2D6N04Y,Preferred,R H,Single,N,DFN5060,40,±20,166,0.0026,,,2,4,No,175,182,664
MCC (Micro Commercial Components),MCAC180N04Y,Preferred,R H,Single,N,DFN5060,40,±20,180,0.002,,,2,4,No,175,441,720
MCC (Micro Commercial Components),MCAC75N04Y,Preferred,R H,Single,N,DFN5060,40,±20,75,0.0068,,,2,4,No,175,26,300
MCC (Micro Commercial Components),MSJW018N60FH,Preferred,R H,Single,N,TO-247,600,±20,102,0.0185,,,3,5,No,150,2160,408
MCC (Micro Commercial Components),MCU055N20YH,Preferred,R H,Single,N,DPAK,200,±20,28,0.055,,,2.2,3.8,No,150,250,112
MCC (Micro Commercial Components),MCGD034N10YL,Preferred,R H,Dual,N+N,DFN3333-D,100,±20,15,0.034,0.044,,1,2.5,No,175,27.5,60
MCC (Micro Commercial Components),MCACLFD5D8N04YQ,Preferred,A R H,Dual,N+N,LFPAK56D,40,±20,69,0.0058,,,2,4,No,175,64,276
MCC (Micro Commercial Components),MCAC4D4N04YL,Preferred,R H,Single,N,PDFN5060,40,±20,80,0.0044,0.008,,1.2,2.5,No,175,60,320
MCC (Micro Commercial Components),MCAC4D4N04YLHE3,Preferred,A R H,Single,N,PDFN5060,40,±20,80,0.0044,0.008,,1.2,2.5,No,175,60,320
MCC (Micro Commercial Components),MCAC4D6N10Y,Preferred,R H,Single,N,DFN5060,100,±20,144,0.0046,,,2.4,3.4,No,150,225,576
MCC (Micro Commercial Components),MCG8D2N04YL,Preferred,R H,Single,N,PDFN3333-B,40,±20,45,0.0082,0.0112,,1.1,2.1,No,150,44,180
MCC (Micro Commercial Components),MCAC055N20YH,Preferred,R H,Single,N,DFN5060,200,±20,34,0.055,,,2.2,3.8,No,150,100,136
MCC (Micro Commercial Components),MCAC25N10Y,Preferred,R H,Single,N,DFN5060,100,±20,25,0.033,0.06,,1,2.5,No,175,25,100
MCC (Micro Commercial Components),MCG6D5N03L,Preferred,R H,Single,N,PDFN3333,30,±20,60,0.0065,0.012,,1,2.5,No,150,72,240
MCC (Micro Commercial Components),MCACL190N06Y,Preferred,R H,Single,N,DFN5060-C,60,±20,190,0.002,,,2,3.5,No,175,512,760
MCC (Micro Commercial Components),MCG021N10Y,Preferred,R H,Single,N,DFN3333,100,±20,31,0.021,,,2,4,No,150,76.5,124
MCC (Micro Commercial Components),MCAC4D6N06YH,Preferred,R H,Single,N,PDFN5060,60,±20,101,0.0046,,,2.0,4.0,No,175,141,404
MCC (Micro Commercial Components),MCACLSD70N04Y,Preferred,R H,Single,N,PDFN5060-DSC-B,40,±20,450,0.0007,,,2.2,3.7,No,175,650,1800
MCC (Micro Commercial Components),MCG021N10YL,Preferred,R H,Single,N,PDFN3333,100,±20,34,0.021,0.028,,1.0,2.5,No,175,30,136
MCC (Micro Commercial Components),MCG4D5N04YLHE3,Preferred,A R H,Single,N,PDFN3333,40,±20,80,0.0045,0.008,,1.0,2.5,No,175,54,320
MCC (Micro Commercial Components),MCG010N06YLHE3,Preferred,A R H,Single,N,PDFN3333,60,±20,45,0.010,0.0155,,1.2,2.5,No,175,40,180
MCC (Micro Commercial Components),MCACL1D5N06YL,Preferred,R H,Single,N,PDFN5060-C,60,±20,245,0.0015,0.0026,,1.3,2.3,No,175,841,980
MCC (Micro Commercial Components),MCGD115NP10L,Preferred,R H,Dual,N+P,DFN3333-D,100/-100,±20,10/-5.5,0.115/0.325,0.125/0.350,,1.3/-1.0,2.3/-2.0,No,150,8/6.1,40/-22
MCC (Micro Commercial Components),MCG027P06YL,Preferred,R H,Single,P,DFN3333,-60,±20,-34,0.027,0.036,,-1.2,-2.4,No,150,98,-136
MCC (Micro Commercial Components),MCACL1D6N04Y,Preferred,R H,Single,N,PDFN5060-C,40,±20,220,0.0016,,,2,4,No,175,240,880
MCC (Micro Commercial Components),MCACL2D4N10YH,Preferred,R H,Single,N,PDFN5060-CW,100,±20,312,0.0024,,,2,4,No,175,1000,1248
MCC (Micro Commercial Components),MCG5D6N04YL,Preferred,R H,Single,N,PDFN3333,40,±20,70,0.0056,0.013,,1.2,2.4,No,175,39,280
MCC (Micro Commercial Components),MCAC011N15YL,Preferred,R H,Single,N,DFN5060,150,±20,80,0.0114,0.0135,,1.5,2.5,No,150,400,320
MCC (Micro Commercial Components),MCG5D8N04Y,Preferred,R H,Single,N,PDFN3333,40,±20,70,0.0058,,,2,4,No,175,40,280
MCC (Micro Commercial Components),MCACLD70N04YHE3,Preferred,A R H,Single,N,DFN5060-C,40,±20,350,0.0007,,,2,4,No,175,600,1400
MCC (Micro Commercial Components),MCAC028N15Y,Preferred,R H,Single,N,PDFN5060,150,±20,40,0.028,,,2.1,3.7,No,150,110,160
MCC (Micro Commercial Components),MCACL1D6N04YHE3,Preferred,A R H,Single,N,PDFN5060-C,40,±20,220,0.0016,,,2.0,4.0,No,175,240,880
MCC (Micro Commercial Components),MCAC010N15YH,Preferred,R H,Single,N,PDFN5060,150,±20,94,0.0103,,,3,4.6,No,150,313,376
MCC (Micro Commercial Components),MCACL1D6N06YH,Preferred,R H,Single,N,PDFN5060-C,60,±20,242,0.0016,,,2.2,3.8,No,175,1104,968
MCC (Micro Commercial Components),MCAC5D9N04YHE3,Preferred,A R H,Single,N,PDFN5060,40,±20,72,0.0059,,,2,4,No,175,49,288
MCC (Micro Commercial Components),MCACL2D8N06YL,Preferred,R H,Single,N,PDFN5060,60,±20,179,0.0028,0.004,,1.2,2.5,No,175,225,716
MCC (Micro Commercial Components),MCACL1D2N04Y,Preferred,R H,Single,N,PDFN5060,40,±20,321,0.0012,,,2,3.5,No,175,529,1284
MCC (Micro Commercial Components),MCU013P06LHE3,Preferred,A R H,Single,P,DPAK,-60,±20,-70,0.013,0.022,,-1.2,-2.4,No,175,150,-280
MCC (Micro Commercial Components),MCU053P10Y,Preferred,R H,Single,P,DPAK,-100,±20,-21,0.053,,,-1.9,-3.5,No,150,45.5,-84
MCC (Micro Commercial Components),MCB014P06L,Preferred,R H,Single,P,D2-PAK,-60,±20,-62,0.014,0.022,,-1.2,-2.4,No,175,225,-248
MCC (Micro Commercial Components),MCP053P10Y,Preferred,R H,Single,P,TO-220AB(H),-100,±20,-23,0.053,,,-2,-3.4,No,150,45,-92
MCC (Micro Commercial Components),MCAC150P15YL,Preferred,R H,Single,P,DFN5060,-150,±20,-14,0.15,0.18,,-1.3,-2.5,No,150,90,-56
MCC (Micro Commercial Components),MCAC054P10Y,Preferred,R H,Single,P,DFN5060,-100,±20,-25,0.054,,,-1.9,-3.5,No,150,72,-100
MCC (Micro Commercial Components),MCG052P10Y,Preferred,R H,Single,P,DFN3333,-100,±25,-16,0.052,,,-1.9,-3.5,No,150,72,-64
MCC (Micro Commercial Components),MCG150P15YL,Preferred,R H,Single,P,DFN3333,-150,±20,-11.6,0.15,0.19,,-1.4,-2.5,No,150,98,-46.4
