,,Super Fast Recovery Rectifiers,,,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Configuration,Package Type,IF(AV)(A),VRWM (V),"VF
(V) [max]@IF(A)","IR (uA)  [max] @
VR",TRR (μs),IFSM (A),IF(A),VR (V),"Tj [max]
(°C)"
,,,,,,,,,,,,,,,
MCC (Micro Commercial Components),UFM14PLHE3,Preferred,A R H,Single,,SOD-123FL,1,400,1.3,5,0.05,30,1,400,150
MCC (Micro Commercial Components),US1Y,Preferred,R H,Single,,SMA,1.0,1600,3.0,5,0.075,30,1.0,1600,150
MCC (Micro Commercial Components),MUR8065PT,Preferred,R,Dual,,TO-247,80,650,1.8,10,0.05,400,40,650,175
MCC (Micro Commercial Components),US2MHE3,Preferred,A R H,Single,,SMB,2,1000,1.7,5,0.075,50,2,1000,150
MCC (Micro Commercial Components),US3DHE3,Preferred,A R H,Single,,SMC,3,200,1,5,0.05,100,3,200,150
MCC (Micro Commercial Components),US3GHE3,Preferred,A R H,Single,,SMC,3,400,1.3,5,0.05,100,3,400,150
MCC (Micro Commercial Components),US3MHE3,Preferred,A R H,Single,,SMC,3,1000,1.75,5,0.075,100,3,1000,150
MCC (Micro Commercial Components),ER5DB,Preferred,R H,Single,,SMB,5,200,0.95,5,0.035,150,5,200,150
MCC (Micro Commercial Components),ER5JB,Preferred,R H,Single,,SMB,5,600,1.7,5,0.035,150,5,600,150
MCC (Micro Commercial Components),MURSA1JBL,Preferred,R H,Single,,SMB,1.0,600,1.28,5,0.050,30,1.0,600,150
MCC (Micro Commercial Components),MURSA2JA,Preferred,R H,Single,,SMA,2.0,600,1.28,5,0.050,50,2.0,600,150
MCC (Micro Commercial Components),MURZ50120P,Preferred,R,Single,,TO-247AD,50,1200,1.85,10,0.2,400,50,1200,150
MCC (Micro Commercial Components),MURZ75120P,Preferred,R,Single,,TO-247AD,75,1200,1.85,10,0.22,500,75,1200,150
MCC (Micro Commercial Components),MURZ3065P,Preferred,R,Single,,TO-247AD,30,650,1.8,10,0.095,220,30,650,150
MCC (Micro Commercial Components),MURZ6065P,Preferred,R,Single,,TO-247AD,60,650,1.8,10,0.105,400,60,650,150
MCC (Micro Commercial Components),MUR3060PB,Preferred,R,Single,,TO-247AD,30,600,2.5,5,0.05,300,30,600,150
MCC (Micro Commercial Components),MUR3065B,Active,R,Single,,TO-247AD,30,650,1.8,10,0.05,300,30,650,175
MCC (Micro Commercial Components),MUR6065B,Active,R,Single,,TO-247AD,60,650,1.9,5,0.075,500,60,650,175
MCC (Micro Commercial Components),MUR7560B,Active,R,Single,,TO-247AD,75,600,2.75,5,0.035,500,75,600,175
MCC (Micro Commercial Components),MUR60120BH,Active,R,Single,,TO-247AD,60,1200,3.3,5,0.085,500,60,1200,175
MCC (Micro Commercial Components),MURSA4J,Active,R H,Single,,SMC,4,600,1.28,5,0.050,100,4,600,150
MCC (Micro Commercial Components),MURSA3JBFL,Active,R H,Single,,SMBF,3,600,1.25,5,0.05,100,3,600,150
MCC (Micro Commercial Components),MURSA4JB,Active,R H,Single,,SMB,4,600,1.28,5,0.05,100,4,600,150
MCC (Micro Commercial Components),MURSA4JBFL,Active,R H,Single,,SMBF,4,600,1.28,5,0.05,100,4,600,150
MCC (Micro Commercial Components),MURSA1J,Active,R H,Single,,SMA,1.0,600,1.28,5,0.050,30,1.0,600,150
MCC (Micro Commercial Components),ER5GB,Active,R H,Single,,SMB,5,400,1.3,5,0.035,150,5,400,150
MCC (Micro Commercial Components),US1DHE3,Active,A R H,Single,,SMA,1,200,1,5,0.05,30,1,200,150
MCC (Micro Commercial Components),US1GHE3,Active,A R H,Single,,SMA,1,400,1.3,5,0.05,30,1,400,150
MCC (Micro Commercial Components),MURS4JB,Active,R H,Single,,SMB,4,600,1.25,5,0.05,100,4,600,150
MCC (Micro Commercial Components),US1YB,Active,R H,Single,,SMB,1,1600,3.2,5,0.075,30,1,1600,150
MCC (Micro Commercial Components),UP2DA,Active,R H,Single,,SMA,2,200,1,5,0.02,50,2,200,150
MCC (Micro Commercial Components),US3Q,Active,R H,Single,,SMC,3,1200,2.4,5,0.075,80,3,1200,150
MCC (Micro Commercial Components),MURS3J,Active,R H,Single,,SMC,3,600,1.25,5,0.05,75,3,600,150
MCC (Micro Commercial Components),UG1DHE3,Active,A R H,Single,,SMA,1,200,0.92,2,0.025,30,1,200,150
MCC (Micro Commercial Components),UG2DAHE3,Active,A R H,Single,,SMA,2,200,0.92,2,0.025,50,2,200,150
MCC (Micro Commercial Components),MURS2DHE3,Active,A R H,Single,,SMB,2,200,0.92,2,0.025,50,2,200,150
MCC (Micro Commercial Components),UF1Q,Active,R H,Single,,SMB,1,1200,1.9,5,0.075,30,1,1200,150
MCC (Micro Commercial Components),MURS5J,Active,R H,Single,,SMC,5,600,1.25,5,0.035,120,5,600,150
MCC (Micro Commercial Components),MURS4JBFL,Active,R H,Single,,SMBF,4,600,1.25,5,0.05,100,4,600,150
MCC (Micro Commercial Components),SF1660CT,Active,R,Dual,,TO-220AB,16,600,1.7,10,0.035,100,8,600,150
MCC (Micro Commercial Components),SF1640CT,Active,R,Dual,,TO-220AB,16,400,1.3,10,0.035,100,8,1200,150
MCC (Micro Commercial Components),MURS2030CTAS,Active,R,Dual,,TO-220AB,20,300,1.4,10,0.025,150,10,300,175
MCC (Micro Commercial Components),MUR8100F,Active,R,Single,,ITO-220AC,8,1000,1.7,10,0.09,150,8,1000,150
MCC (Micro Commercial Components),MURS8120A,Active,R,Single,,TO-220AC,8,1200,2.5,5,0.075,60,8,1200,150
MCC (Micro Commercial Components),MUR820H,Active,R,Single,,TO-220AC,8,200,1.16,10,0.025,150,8,200,175
MCC (Micro Commercial Components),MURS865FA,Active,R,Single,,ITO-220AC,8,650,1.6,5,0.035,75,8,650,175
MCC (Micro Commercial Components),MUR15120FL,Active,R,Single,,ITO-220AC,15,1200,3.2,5,0.06,110,15,1200,150
MCC (Micro Commercial Components),MURS15120A,Active,R,Single,,TO-220AC,15,1200,2.5,5,0.06,140,15,1200,150
MCC (Micro Commercial Components),MURS3060FB,Active,R,Single,,ITO-220AC,30,600,2.95,5,0.035,200,30,600,175
MCC (Micro Commercial Components),MURS3060A,Active,R,Single,,TO-220AC,30,600,1.6,5,0.035,300,30,600,175
MCC (Micro Commercial Components),MURS8120FA,Active,R,Single,,ITO-220AC,8,1200,2.5,5,0.075,60,8,1200,150
MCC (Micro Commercial Components),MURS860B,Active,R,Single,,TO-220AC,8,600,3.6,10,0.04,70,8,600,150
MCC (Micro Commercial Components),MURS860FB,Active,R,Single,,ITO-220AC,8,600,3.6,10,0.04,70,8,600,150
MCC (Micro Commercial Components),MURS3060F,Active,R,Single,,ITO-220AC,30,600,2,5,0.035,200,30,600,175
MCC (Micro Commercial Components),MUR15120L,Active,R,Single,,TO-220AC,15,1200,3.2,5,0.06,110,15,1200,150
MCC (Micro Commercial Components),MURS1060FL,Active,R,Single,,ITO-220AC,10,600,1.3,5,0.075,100,15,600,150
MCC (Micro Commercial Components),MURS1060L,Active,R,Single,,TO-220AC,10,600,1.3,5,0.075,100,15,600,150
MCC (Micro Commercial Components),MURS1560B,Active,R,Single,,TO-220AC,15,600,2.8,10,0.025,160,15,600,175
MCC (Micro Commercial Components),MURS1560FB,Active,R,Single,,ITO-220AC,15,600,2.8,10,0.025,160,15,600,175
MCC (Micro Commercial Components),MURS1560FL,Active,R,Single,,ITO-220AC,15,600,1.5,10,0.075,160,15,600,175
MCC (Micro Commercial Components),MURS1560L,Active,R,Single,,TO-220AC,15,600,1.5,10,0.075,160,15,600,175
MCC (Micro Commercial Components),MUR1560HS,Active,R,Single,,TO-220AC,15,600,1.5,10,0.05,330,15,600,175
MCC (Micro Commercial Components),MURS1060A,Active,R,Single,,TO-220AC,10,600,1.6,5,0.035,120,10,600,175
MCC (Micro Commercial Components),MURS1060FA,Active,R,Single,,ITO-220AC,10,600,1.6,5,0.035,120,10,600,175
MCC (Micro Commercial Components),MURS1560A,Active,R,Single,,TO-220AC,15,600,1.6,5,0.04,160,15,600,175
MCC (Micro Commercial Components),MURS1560FA,Active,R,Single,,ITO-220AC,15,600,1.6,5,0.04,160,15,600,150
MCC (Micro Commercial Components),MURS2060FS,Active,R,Single,,ITO-220AC,20,600,1.7,5,0.04,160,20,600,150
MCC (Micro Commercial Components),MURS1040A,Active,R,Single,,TO-220AC,10,400,1.25,5,0.035,120,10,400,150
MCC (Micro Commercial Components),MURS1020FA,Active,R,Single,,ITO-220AC,10,200,1,5,0.035,120,10,200,150
MCC (Micro Commercial Components),MURS1040FA,Active,R,Single,,ITO-220AC,10,400,1.25,5,0.035,120,10,400,150
MCC (Micro Commercial Components),MURS520A,Active,R,Single,,TO-220AC,5,200,1,5,0.035,70,5,200,150
MCC (Micro Commercial Components),MURS520FA,Active,R,Single,,ITO-220AC,5,200,1,5,0.035,70,5,200,150
MCC (Micro Commercial Components),MURS540A,Active,R,Single,,TO-220AC,5,400,1.25,5,0.035,70,5,400,175
MCC (Micro Commercial Components),MURS540FA,Active,R,Single,,ITO-220AC,5,400,1.25,5,0.035,70,5,400,175
MCC (Micro Commercial Components),MURS560A,Active,R,Single,,TO-220AC,5,600,1.6,5,0.035,70,5,600,150
MCC (Micro Commercial Components),MURS560FA,Active,R,Single,,ITO-220AC,5,600,1.6,5,0.035,70,5,600,150
MCC (Micro Commercial Components),MURS820A,Active,R,Single,,TO-220AC,8,200,1,5,0.035,100,8,200,150
MCC (Micro Commercial Components),MURS820FA,Active,R,Single,,ITO-220AC,8,200,1,5,0.035,100,8,200,150
MCC (Micro Commercial Components),MURS840A,Active,R,Single,,TO-220AC,8,400,1.25,5,0.035,100,8,400,150
MCC (Micro Commercial Components),MURS840FA,Active,R,Single,,ITO-220AC,8,400,1.25,5,0.035,100,8,400,150
