Manufacture,Product,Status,Compliance,Number of Functions,Configuration,Package Type,IF(AV)(A),VRWM(V),VF (V) [max]@IF(A),IR(uA) [max] @ VR,TRR (μs),VR (V),IF(A),PD (mW),Tj [max] (°C)
MCC (Micro Commercial Components),BAS16WHQ,Preferred,A R H,Single,,SOD-123,0.3,75,1.25,1.0,0.006,75,0.15,300,150
MCC (Micro Commercial Components),BAV20WSHE3,Active,A R H,Single,,SOD-323,0.2,200,1.25,0.1,0.05,150,0.2,250,150
MCC (Micro Commercial Components),BAS416,Active,R H,Single,,SOD-323,0.2,100,1,0.005,3,75,0.01,250,150
MCC (Micro Commercial Components),BAS416HE3,Active,A R H,Single,,SOD-323,0.2,100,1,0.005,3,75,0.01,250,150
MCC (Micro Commercial Components),BAV19WSHE3,Active,A R H,Single,,SOD-323,0.2,120,1.25,0.1,0.05,100,0.2,250,150
MCC (Micro Commercial Components),BAS316HE3,Active,A R H,Single,,SOD-323,0.25,100,0.715,1,0.004,75,0.001,400,150
MCC (Micro Commercial Components),BAS16WXHE3,Active,A R H,Single,,SOD-323,0.1,75,1.25,1,0.006,75,0.15,350,150
MCC (Micro Commercial Components),1N4448WXHE3,Active,A R H,Single,,SOD-323,0.25,75,1,2.5,0.004,75,0.1,200,150
MCC (Micro Commercial Components),BAS16WX,Active,R H,Single,,SOD-323,0.1,75,1.25,1,0.006,75,0.15,350,150
MCC (Micro Commercial Components),BAV21WSHE3,Active,A R H,Single,,SOD-323,0.2,250,1.25,0.1,0.05,200,0.2,250,150
MCC (Micro Commercial Components),1N4148WXHE3,Active,A R H,Single,,SOD-323,0.15,100,1,1,0.004,75,0.05,200,150
MCC (Micro Commercial Components),BAV3004WS,Active,R H,Single,,SOD-323,0.225,350,1.25,0.1,0.05,240,0.2,200,150
MCC (Micro Commercial Components),BAV316,Active,R H,Single,,SOD-323,0.215,130,1.1,0.005,3,75,0.15,250,150
MCC (Micro Commercial Components),BAS16WXH,Active,R H,Single,,SOD-323,0.1,100,1.25,1,0.006,75,0.15,350,150
MCC (Micro Commercial Components),BAS316,Active,R H,Single,,SOD-323,0.25,100,0.715,1,0.004,75,0.001,400,150
MCC (Micro Commercial Components),MMDL914,Active,R H,Single,,SOD-323,0.2,100,1,0.025,0.004,20,0.01,200,150
MCC (Micro Commercial Components),BAV19WS,Active,R H,Single,,SOD-323,0.2,120,1.25,0.1,0.05,100,0.2,250,150
MCC (Micro Commercial Components),BAV20WS,Active,R H,Single,,SOD-323,0.2,200,1.25,0.1,0.05,150,0.2,250,150
MCC (Micro Commercial Components),BAV21WS,Active,R H,Single,,SOD-323,0.2,250,1.25,0.1,0.05,200,0.2,250,150
MCC (Micro Commercial Components),BAS21WS,Active,R H,Single,,SOD-323,0.2,250,1.25,0.1,0.05,200,0.2,200,150
MCC (Micro Commercial Components),1N4448WX,Active,R H,Single,,SOD-323,0.25,75,1,1,0.004,75,0.1,200,150
MCC (Micro Commercial Components),1N4148WX,Active,R H,Single,,SOD-323,0.15,100,1,1,0.004,75,0.05,200,150
MCC (Micro Commercial Components),1N4448X,Active,R H,Single,,SOD-523,0.25,100,1,2.5,0.004,75,0.1,150,150
MCC (Micro Commercial Components),1N4148X,Active,R H,Single,,SOD-523,0.15,100,1.25,1,0.004,75,0.15,200,150
MCC (Micro Commercial Components),BAS16X,Active,R H,Single,,SOD-523,0.2,75,1,1,0.006,75,0.05,150,150
MCC (Micro Commercial Components),BAS516,Active,R H,Single,,SOD-523,0.25,100,0.715,0.03,0.004,25,0.001,150,150
