,,ESD Protection Devices,,,,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Configuration,Package Type,"Reverse
Standoff
Voltage
VRWM(V)","Peak Pulse
Current
IPP(A)","Max.
Clamping
Voltage
VC (V)","Junction
Capacitance
CJ(pF)","Peak Pluse
Power
Dissipation
PPPK (W)","Maximum
Reverse
Leakage
IR (uA)","Breakdown
Voltage
Min VBR(V)","Breakdown
Voltage
Max VBR(V)","Junction
Temperature
Tj [max] (°C)","VESDIEC61000-4-2
Air/Contact
(kV)"
,,,,,,,,,,,,,,,,
MCC (Micro Commercial Components),MMBZ12VAQ,Preferred,A R H,2,Unidirectional,SOT-23,12,2.35,17,113,40,0.2,11.4,12.6,150,±30
MCC (Micro Commercial Components),MMBZ5V6AQ,Preferred,A R H,2,Unidirectional,SOT-23,5.6,3,8,320,24,5,5.32,5.88,150,±30
MCC (Micro Commercial Components),MMBZ9V1AQ,Preferred,A R H,2,Unidirectional,SOT-23,9.1,1.7,14,183,24,0.3,8.65,9.56,150,±30
MCC (Micro Commercial Components),ESDSBULC24VLBQ,Preferred,A R H,1,Bidirectional,DFN1006-2,24,4,9,0.45,36,0.05,25,32,150,±15
MCC (Micro Commercial Components),ESDSBULC18VLBQ,Preferred,A R H,1,Bidirectional,DFN1006-2,18,4,9,0.45,36,0.05,18.5,,150,±15
MCC (Micro Commercial Components),ESDSBULC3V3LBQ,Preferred,A R H,1,Bidirectional,DFN1006-2,3.3,4,7,0.45,28,0.05,7,,150,±15
MCC (Micro Commercial Components),ESDSBLC24VT3BHE3,Preferred,A R H,2,Bidirectional,SOT-323,24,5,42,10.5,210,0.1,26,37,150,±30
MCC (Micro Commercial Components),ESDSBLC27VT3BHE3,Preferred,A R H,2,Bidirectional,SOT-323,27,5,48,9.5,240,0.1,29,38,150,±30/±20
MCC (Micro Commercial Components),ESDSBLC36VT3BHE3,Active,A R H,2,Bidirectional,SOT-323,36,4,60,8,240,0.1,37,49,150,±30
MCC (Micro Commercial Components),ESDSBLC24VT3B,Active,R H,2,Bidirectional,SOT-323,24,5,32,10,160,0.2,26.5,36,125,±30
MCC (Micro Commercial Components),SM712A,Active,R H,2,Asymmetric,SOT-23,12,17,20,30,340,1,13.3,16.5,150,±30
MCC (Micro Commercial Components),ESDULC5V0T2BHE3,Active,A R H,2,Bidirectional,SOT-23,5,4,25,0.4,100,0.1,5.8,9.5,150,±16
MCC (Micro Commercial Components),ESDSBLC24VT2B,Active,R H,2,Bidirectional,SOT-23,24,10,32,9,320,0.2,25,,125,±30
MCC (Micro Commercial Components),SM32B,Active,R H,2,Bidirectional,SOT-23,32,4.5,67,25,300,0.2,35.6,,125,±30
MCC (Micro Commercial Components),SM15BHE3,Active,A R H,2,Bidirectional,SOT-23,15,10,35,35,350,0.2,16.7,21,125,±30
MCC (Micro Commercial Components),ESDLC24VT2BHE3,Active,A R H,2,Bidirectional,SOT-23,24,5,36,10,180,0.05,25.5,35.5,150,±30
MCC (Micro Commercial Components),ESDSBLC24VT2BHE3,Active,A R H,2,Bidirectional,SOT-23,24,2.5,27,3.8,65,0.1,105,125,150,±30
MCC (Micro Commercial Components),SM712H,Active,R H,2,Asymmetric,SOT-23,12,36,28,75,1000,0.1,13.3,,125,±30
MCC (Micro Commercial Components),ESD24VT2BHE3,Active,A R H,2,Bidirectional,SOT-23,24,7,44,30,308,0.1,26.2,32,150,±30
MCC (Micro Commercial Components),HSM24BHE3,Active,A R H,2,Bidirectional,SOT-23,24,8,48,32,384,0.1,26.3,30.3,150,±30
MCC (Micro Commercial Components),ESD15VT2BHE3,Active,A R H,2,Bidirectional,SOT-23,15,9,30,26,270,0.5,16,19,150,±30
MCC (Micro Commercial Components),ESD27VT2BHE3,Active,A R H,2,Bidirectional,SOT-23,27,6,70,13,420,0.5,31,38,150,±30
MCC (Micro Commercial Components),ESD3V3T2BHE3,Active,A R H,2,Bidirectional,SOT-23,3.3,25,16,100,400,0.5,5,7,150,±30
MCC (Micro Commercial Components),ESD7V0T2BHE3,Active,A R H,2,Bidirectional,SOT-23,7,17,15,63,255,0.5,7.5,10,150,±30
MCC (Micro Commercial Components),ESD36VT2BHE3,Active,A R H,2,Bidirectional,SOT-23,36,5,90,30,450,0.5,38,48,150,±30
MCC (Micro Commercial Components),HSM24B,Active,R H,2,Bidirectional,SOT-23,24,13,34.5,15,450,0.2,25,,125,±30
MCC (Micro Commercial Components),ESD12VT2BHE3,Active,A R H,2,Bidirectional,SOT-23,12,10,30,35,300,0.1,13.5,16.7,150,±30
MCC (Micro Commercial Components),ESDHL24VT2B,Active,R H,2,Bidirectional,SOT-23,24,9,50,30,450,0.5,26,31,125,±30
MCC (Micro Commercial Components),LSM712,Active,R H,2,Asymmetric,SOT-23,12,12,20,25,240,0.5,13.3,,125,±30
MCC (Micro Commercial Components),ESD12VT2B,Active,R H,2,Bidirectional,SOT-23,12,10,30,35,250,0.5,13,17,150,±30
MCC (Micro Commercial Components),ESD15VT2B,Active,R H,2,Bidirectional,SOT-23,15,9,30,30,250,0.5,16,19,150,±30
MCC (Micro Commercial Components),ESD24VT2B,Active,R H,2,Bidirectional,SOT-23,24,7,44,20,250,0.5,26,32.2,150,±30
MCC (Micro Commercial Components),ESD27VT2B,Active,R H,2,Bidirectional,SOT-23,27,6,70,15,250,0.5,31,38,150,±30
MCC (Micro Commercial Components),ESD36VT2B,Active,R H,2,Bidirectional,SOT-23,36,5,90,13,250,0.5,38,48,150,±30
MCC (Micro Commercial Components),ESD3V3T2B,Active,R H,2,Bidirectional,SOT-23,3.3,25,16,100,250,0.5,5,6.9,150,±30
MCC (Micro Commercial Components),ESD7V0T2B,Active,R H,2,Bidirectional,SOT-23,7,17,15,65,250,0.5,7.5,9.6,150,±30
MCC (Micro Commercial Components),SM712,Active,R H,2,Asymmetric,SOT-23,12,13,25,45,400,1,13.3,,150,±30
MCC (Micro Commercial Components),SM05B,Active,R H,2,Bidirectional,SOT-23,5,20,15,80,300,1,6,,125,±30
MCC (Micro Commercial Components),SM15B,Active,R H,2,Bidirectional,SOT-23,15,8,35,25,300,0.2,17,,125,±30
MCC (Micro Commercial Components),SM3.3B,Active,R H,2,Bidirectional,SOT-23,3.3,25,10,100,350,1.5,4,6.5,150,±30
MCC (Micro Commercial Components),SM36B,Active,R H,2,Bidirectional,SOT-23,36,3,90,15,300,0.2,38,,125,±30
MCC (Micro Commercial Components),SM12B,Active,R H,2,Bidirectional,SOT-23,12,10,30,32,300,0.5,13.3,,125,±30
MCC (Micro Commercial Components),SR70,Active,R H,2,Unidirectional,SOT-143,70,24,7,10,168,5,85,,150,±15/±8
MCC (Micro Commercial Components),ESDA6V1-4L,Active,R,4,Bidirectional,SOT23-6L,5,6,14,20,80,0.2,6,,125,±30
MCC (Micro Commercial Components),LC03-3.3,Active,R H,2,Unidirectional,SOP-8,3.3,150,48,16,7200,0.5,3.5,,125,±30
MCC (Micro Commercial Components),ESDLC5V0PA6,Active,R H,6,Unidirectional,DFN4120-10,5,4,25,0.4,100,0.5,6,,125,±15/±8
MCC (Micro Commercial Components),CSPSLC3V3L,Active,R,1,Unidirectional,CSP1006-2,3.3,11,15,0.6,150,0.2,4,6,125,±30
MCC (Micro Commercial Components),ESDULC8V0AE2,Active,R H,1,Unidirectional,0201-A,8,4,25,0.3,100,0.2,8.5,,125,±20
MCC (Micro Commercial Components),ESDUSLC5V0AE2,Active,R H,1,Unidirectional,0201-A,5,5,15,0.8,75,0.5,6,,125,±25/±20
MCC (Micro Commercial Components),ESDSLC5V0L,Active,R H,1,Unidirectional,DFN1006-2,5,4,16,0.7,80,0.1,6,,125,±20
MCC (Micro Commercial Components),ESDULC7V0L,Active,R H,1,Unidirectional,DFN1006-2,7,2,13,0.2,26,0.2,8,,125,±25/±20
MCC (Micro Commercial Components),ESDLC3603P3,Active,R H,3,Unidirectional,DFN1616-6,5.5,5,20,0.5,100,0.5,6.5,,125,±25/±20
MCC (Micro Commercial Components),ESDL5V0L,Active,R H,1,Unidirectional,DFN1006-2,5,15,14,100,200,0.2,6,,125,±30
MCC (Micro Commercial Components),ESD24VL,Active,R H,1,Unidirectional,DFN1006-2,24,5,55,35,250,0.3,26,,125,±25/±20
MCC (Micro Commercial Components),ESD2451P6,Active,R H,1,Unidirectional,DFN1610-2,24,40,43,250,1800,1,24.7,,125,±30
MCC (Micro Commercial Components),ESD0552P6,Active,R H,1,Unidirectional,DFN1610-2,5,160,14,500,2400,1,5.2,7,125,±30
MCC (Micro Commercial Components),ESD1551P6,Active,R H,1,Unidirectional,DFN1610-2,15,60,30,380,1800,1,15.5,18,125,±30
MCC (Micro Commercial Components),ESD1251P6,Active,R H,1,Unidirectional,DFN1610-2,12,75,22,510,1800,1,12.8,14.6,125,±30
MCC (Micro Commercial Components),ESD1851P6,Active,R H,1,Unidirectional,DFN1610-2,18,50,35,310,1800,1,19.2,22.5,125,±30
MCC (Micro Commercial Components),ESD1051P6,Active,R H,1,Unidirectional,DFN1610-2,10,86,20,650,1800,1,10.7,12.3,125,±30
MCC (Micro Commercial Components),ESD0751P6,Active,R H,1,Unidirectional,DFN1610-2,7,100,17,900,1800,1,8,10,125,±30
MCC (Micro Commercial Components),CSPH12VL,Active,R,1,Unidirectional,CSP1006-2,12,45,32,150,1300,1,13,16.5,125,±30
MCC (Micro Commercial Components),CSP5V0L,Active,R,1,Unidirectional,CSP1006-2,5,50,10.5,130,500,0.5,5.8,8,125,±30
MCC (Micro Commercial Components),CSPH7V0L,Active,R,1,Unidirectional,CSP1006-2,7,45,15,185,700,0.5,8,,125,±30
MCC (Micro Commercial Components),ESD12VL,Active,R H,1,Unidirectional,DFN1006-2,12,12,25,60,300,0.1,13.3,,125,±30
MCC (Micro Commercial Components),ESD12VLB,Active,R H,1,Bidirectional,DFN1006-2,12,14,25,50,350,0.1,13.3,,125,±30
MCC (Micro Commercial Components),ESDLC3V3LB,Active,R H,1,Bidirectional,DFN1006-2,3.3,1,11,3.1,20,0.1,4.3,6.8,125,±30
MCC (Micro Commercial Components),ESD24VLB,Active,R H,1,Bidirectional,DFN1006-2,24,5,40,20,300,0.1,27,,125,±30/±25
MCC (Micro Commercial Components),ESDULC1610LB,Active,R H,1,Asymmetric,DFN1006-2,16,16,23,0.3,50,0.5,15.6,,125,±20/±15
MCC (Micro Commercial Components),ESDSLC3V3LB,Active,R H,1,Bidirectional,DFN1006-2,3.3,5,20,0.3,100,0.05,5,,125,±20/±25
MCC (Micro Commercial Components),ESDLC12VLB,Active,R H,1,Bidirectional,DFN1006-2,12,5,20,7,100,0.2,13.3,,125,±30
MCC (Micro Commercial Components),ESD0512LB,Active,R H,1,Asymmetric,DFN1006-2,"12, 5",10,20,40,200,0.2,"13, 6","17, 10",125,±30
MCC (Micro Commercial Components),ESD7V0LB,Active,R H,1,Bidirectional,DFN1006-2,7,5,16,15,80,0.2,7.5,,125,±30
MCC (Micro Commercial Components),ESD1V8LB,Active,R H,1,Bidirectional,DFN1006-2,1.8,12,8.5,30,100,0.2,2.5,,125,±30
MCC (Micro Commercial Components),ESDH1V8LB,Active,R H,1,Bidirectional,DFN1006-2,1.8,38,8,80,300,0.2,2.5,,125,±30
MCC (Micro Commercial Components),ESDLC15VLB,Active,R H,1,Bidirectional,DFN1006-2,15,6,25,5,150,0.2,16.2,,125,±30
MCC (Micro Commercial Components),ESDSLC12VLB,Active,R H,1,Bidirectional,DFN1006-2,12,2.5,32,0.5,80,0.2,13.5,,125,±25/±20
MCC (Micro Commercial Components),ESDL3V3LB,Active,R H,1,Bidirectional,DFN1006-2,3.3,8,10,20,80,0.05,3.5,6.5,125,±30
MCC (Micro Commercial Components),ESDULC5V0LB,Active,R H,1,Bidirectional,DFN1006-2,5,2,12.5,3,25,0.2,6,,125,±20
MCC (Micro Commercial Components),ESDSLC5V0AE2,Active,R H,1,Bidirectional,0201-A,5,5,25,0.32,125,0.1,6.5,9.5,125,±20
MCC (Micro Commercial Components),ESDLC3V3AE2,Active,R H,1,Bidirectional,0201-A,3.3,3,10,3,30,0.2,4.3,,125,±30/±28
MCC (Micro Commercial Components),ESDULC5V0AE2,Active,R H,1,Bidirectional,0201-A,5,1,11,3,11,0.1,6,,125,±15/±8
MCC (Micro Commercial Components),ESDLC5V0AE2,Active,R H,1,Bidirectional,0201-A,5,8,15,15,120,0.1,6,9,125,±15/±8
MCC (Micro Commercial Components),ESDPLC5V0AE2,Active,R H,1,Bidirectional,0201-A,5.5,3,15,0.2,40,0.05,6,9,150,±20
MCC (Micro Commercial Components),ESDLC12VAE2,Active,R H,1,Bidirectional,0201-A,12,5,20,10,100,0.2,13.3,,125,±30
MCC (Micro Commercial Components),ESDLC7V0AE2,Active,R H,1,Bidirectional,0201-A,7,6,17,15,100,0.2,7.5,,125,±30
MCC (Micro Commercial Components),ESD0571P6,Active,R H,1,Unidirectional,DFN1610-2,5,125,15,960,1875,1,6,,125,±30
MCC (Micro Commercial Components),ESD0771P6,Active,R H,1,Unidirectional,DFN1610-2,7,115,16.5,550,1875,0.5,7.5,,125,±30
MCC (Micro Commercial Components),ESD1271P6,Active,R H,1,Unidirectional,DFN1610-2,12,75,25,500,1875,0.1,12.6,,125,±30
MCC (Micro Commercial Components),ESD2471P6,Active,R H,1,Unidirectional,DFN1610-2,24,35,53.5,200,1875,0.1,26.7,,125,±30
MCC (Micro Commercial Components),ESD15VL,Active,R H,1,Unidirectional,DFN1006-2,15,10,30,65,300,0.5,16.7,20,125,±30
MCC (Micro Commercial Components),ESD7V0L,Active,R H,1,Unidirectional,DFN1006-2,7,18,17,90,300,0.5,7.5,,150,±30
MCC (Micro Commercial Components),ESD3V3L,Active,R H,1,Unidirectional,DFN1006-2,3.3,20,15,250,300,1,4.2,6,125,±30
MCC (Micro Commercial Components),ESDLC3V3L,Active,R H,1,Unidirectional,DFN1006-2,3.3,10,15,20,150,0.5,3.5,,125,±30
MCC (Micro Commercial Components),SRV33-4S,Active,R,4,Unidirectional,SOT23-6L,3.3,11,11,0.9,100,0.5,3.6,7,125,±20/±15
