,,Small Signal MOSFETS,,,,,,,,,,,,,,
Manufacture,Product,Status,Compliance,Number of Functions,Channel,Package Type,"Drain-Source
Voltage
VDS (V)","Gate-Source
Voltage
VGS (V)","Drain
Current
ID (A)","RDS(ON)
Max
@VGS=10V
(Ω)","RDS(ON)
Max
@VGS=4.5V
(Ω)","RDS(ON)
Max
@VGS=2.5V
(Ω)","Gate
Threshold
Voltage
VGS(th) Min
(V)","Gate
Threshold
Voltage
VGS(th) Max
(V)","ESD
Diodes","Junction
Temperature
Tj [max]
(°C)"
,,,,,,,,,,,,,,,,
MCC (Micro Commercial Components),BSS138KV,Preferred,R H,Dual,N+N,SOT-563,60,±20,0.204,3.3,4.1,6.3,0.6,1.4,Yes,150
MCC (Micro Commercial Components),SI030N04YQ,Preferred,A R H,Single,N,SOT-23,40,±20,5.1,0.03,,,2,4,No,175
MCC (Micro Commercial Components),MCM028N03YU,Preferred,R H,Single,N,DFN2020-6LE,30,±12,10,,0.028,0.035,0.45,1,No,150
MCC (Micro Commercial Components),MCMWF090N06LKHE3,Preferred,A R H,Single,N,DFN2020-6(SWF),60,±20,8.1,0.09,0.115,,1.1,2.1,Yes,150
MCC (Micro Commercial Components),MCMWF190P06LQ,Preferred,A R H,Single,P,DFN2020-6(SWF),-60,±20,-5.7,0.19,0.29,,-1.2,-2.2,No,175
MCC (Micro Commercial Components),MCMWF013N04LHE3,Preferred,A R H,Single,N,DFN2020-6(SWF),40,"	+20/-16",33,0.013,0.018,,1,2.5,No,150
MCC (Micro Commercial Components),MCMWF9D1N03LHE3,Preferred,A R H,Single,N,DFN2020-6(SWF),30,"	+20/-16",45,0.0091,0.015,,1,2.2,No,150
MCC (Micro Commercial Components),MCMWF025N04YQ,Preferred,A R H,Single,N,DFN2020-6(SWF),40,±20,15,0.025,,,2,4,No,175
MCC (Micro Commercial Components),MCMWF039N06LHE3,Active,A R H,Single,N,DFN2020-6(SWF),60,"	+20/-16",15,0.039,0.045,,1,2.5,No,150
MCC (Micro Commercial Components),MCM040P03L,Active,R H,Single,P,DFN2020-6LE,-30,±20,-10,0.04,0.06,,-1,-2.5,No,150
MCC (Micro Commercial Components),SIL04P06Y,Active,R H,Single,P,SOT23-6L,-60,±20,-3.5,0.085,0.12,,-1,-2.5,No,150
MCC (Micro Commercial Components),SIL2300,Active,R,Dual,N+N,SOT23-6L,20,±10,4,,0.025,0.032,0.45,1,No,150
MCC (Micro Commercial Components),SIL2300A,Active,R,Dual,N+N,SOT23-6L,20,±10,7,,0.018,0.022,0.45,1,No,150
MCC (Micro Commercial Components),SIL3439KA,Active,R,Dual,N+P,SOT23-6L,20/-20,±12,1.2/-1.0,,0.3/0.85,0.4/1.2,0.35/-0.35,1.1,Yes,150
MCC (Micro Commercial Components),SI3134KU6,Active,R H,Dual,N+N,DFN1010B-6,20,±10,0.75,,0.25,0.34,0.35,1.2,Yes,150
MCC (Micro Commercial Components),MCM031N03UK,Active,R,Single,N,DFN2020-6J,30,±12,17.5,0.031,0.040,,0.5,1.3,Yes,150
MCC (Micro Commercial Components),SIL260N03UK,Active,R H,Single,N,SOT23-6L,30,±10,1.51,,0.26,0.4,0.45,1,Yes,150
MCC (Micro Commercial Components),SIL02N06K,Active,R,Single,N,SOT23-6L,60,±20,2.5,0.105,0.14,,1.1,2.3,Yes,150
MCC (Micro Commercial Components),SI3439KU6,Active,R H,Dual,N+P,DFN1010B-6,20/-20,±10,0.75/-0.52,,0.25/0.85,0.34/1.2,0.35/-0.35,1.2/-1.2,Yes,150
MCC (Micro Commercial Components),SI3139KU6,Active,R H,Dual,P+P,DFN1010B-6,-20,±10,-0.52,,0.85,1.2,-0.35,-1.2,Yes,150
MCC (Micro Commercial Components),MC7252KV,Active,R H,Dual,N+P,SOT-563,60/-60,±20,0.23/-0.18,2.5/4.0,3.0/4.0,,1.0/-0.8,"	2.0/-1.8",Yes,150
MCC (Micro Commercial Components),MCMWF034P02UKHE3,Active,A R H,Single,P,DFN2020-6(SWF),-20,±10,-14,,0.034,0.057,-0.55,-1.25,Yes,150
MCC (Micro Commercial Components),MCM169P06LK,Active,R H,Single,P,DFN2020-6J,-60,±20,-5.6,0.169,0.246,,-1.1,-2.1,Yes,150
MCC (Micro Commercial Components),MCMWF015N02UHE3,Active,A R H,Single,N,DFN2020-6(SWF),20,±10,27,,0.015,0.02,0.4,1,No,150
MCC (Micro Commercial Components),SIL2322A,Active,R,Dual,N+N,SOT23-6L,20,±8,3,,0.03,0.04,0.55,1.25,No,150
MCC (Micro Commercial Components),SIL033N03L,Active,R H,Dual,N+N,SOT23-6L,30,±20,4.1,0.033,0.055,,1,2.2,No,150
MCC (Micro Commercial Components),SIL125P06L,Active,R H,Single,P,SOT23-6L,-60,±20,-2.4,0.125,0.175,,-1,-2,No,150
MCC (Micro Commercial Components),SIL100P06L,Active,R H,Single,P,SOT23-6L,-60,±20,-2.81,0.1,0.12,,-1.2,-2.2,No,150
MCC (Micro Commercial Components),SIL3407,Active,R,Single,P,SOT23-6L,-30,±20,-4.1,0.05,0.07,,-1,-3,No,150
MCC (Micro Commercial Components),SIL06P03A,Active,R H,Single,P,SOT23-6L,-30,±20,-6,,0.043,0.065,-1,-2.5,No,150
MCC (Micro Commercial Components),MCM037P02U,Active,R H,Single,P,DFN2020-6T,-20,±10,-5.2,,0.037,0.047,-0.4,-1,No,150
MCC (Micro Commercial Components),2N7002,Active,R H,Single,N,SOT-23,60,±20,0.34,2.5,3,,1,2.5,No,150
MCC (Micro Commercial Components),SI2306,Active,R H,Single,N,SOT-23,30,±20,3.16,0.047,0.065,,1,3,No,150
MCC (Micro Commercial Components),SI2310,Active,R H,Single,N,SOT-23,60,±20,3,0.105,0.125,,0.5,2,No,150
MCC (Micro Commercial Components),SI3404,Active,R H,Single,N,SOT-23,30,±20,5.8,0.028,0.042,,1,2.2,No,150
MCC (Micro Commercial Components),SI3404HE3,Active,A R H,Single,N,SOT-23,30,±20,5.6,0.028,0.042,,1,3,No,150
MCC (Micro Commercial Components),2N7002W,Active,R H,Single,N,SOT-323,60,±20,0.115,2.5,3,,1,2,No,150
MCC (Micro Commercial Components),SI2124DW,Active,R H,Dual,N+N,SOT-363,20,±10,1.5,,0.09,0.105,0.55,1.1,No,150
MCC (Micro Commercial Components),2N7002DW-TPQ2,Active,R H,Dual,N+N,SOT-363,60,±20,0.34,2.5,3,,1,2.5,No,150
MCC (Micro Commercial Components),2N7002DW,Active,R H,Dual,N+N,SOT-363,60,±20,0.34,2.5,3,,1,2.5,No,150
MCC (Micro Commercial Components),2N7002V,Active,R H,Dual,N+N,SOT-563,60,±20,0.115,2.5,,,1,2.5,No,150
MCC (Micro Commercial Components),SIX3K4N10L,Active,R H,Dual,N+N,SOT-563,100,±20,0.2,3.4,3.6,,1,2.5,No,150
MCC (Micro Commercial Components),BSS123DWS,Active,R H,Dual,N+N,SOT-363S,100,±20,0.2,3.4,3.6,,1,2.5,No,150
MCC (Micro Commercial Components),SI3401,Active,R H,Single,P,SOT-23,-30,±12,-4.2,0.065,0.075,0.09,-0.7,-1.3,No,150
MCC (Micro Commercial Components),SI2321,Active,R H,Single,P,SOT-23,-20,±12,-2.9,,0.057,0.076,-0.4,-0.9,No,150
MCC (Micro Commercial Components),SI2307,Active,R H,Single,P,SOT-23,-30,±20,-2.7,0.088,0.138,,-1,-3,No,150
MCC (Micro Commercial Components),SI2305,Active,R H,Single,P,SOT-23,-8,±8,-4.1,,0.045,0.06,-0.55,-0.9,No,150
MCC (Micro Commercial Components),2SK3018,Active,R H,Single,N,SOT-323,30,±20,0.1,3,4,13,0.8,1.5,Yes,150
MCC (Micro Commercial Components),2SK3020,Active,R H,Single,N,SOT-723,30,±20,0.5,0.75,0.95,,0.7,1.5,Yes,150
MCC (Micro Commercial Components),SI3134KA,Active,R H,Single,N,SOT-723,20,±12,0.75,,0.3,0.4,0.35,1.1,Yes,150
MCC (Micro Commercial Components),2SK3019,Active,R H,Single,N,SOT-523,30,±20,0.1,4,5,13,0.8,1.5,Yes,150
MCC (Micro Commercial Components),2SK3019A,Active,R H,Single,N,SOT-523,30,±20,0.1,4,5,13,0.8,1.5,Yes,150
MCC (Micro Commercial Components),2SK3019HE3,Active,A R H,Single,N,SOT-523,30,±20,0.115,4,5,7,0.8,1.5,Yes,150
MCC (Micro Commercial Components),SI3401A,Active,R H,Single,P,SOT-23,-30,±12,-4.2,0.06,0.07,0.085,-0.7,-1.3,No,150
MCC (Micro Commercial Components),SI3401AHE3,Active,A R H,Single,P,SOT-23,-30,±12,-4.4,0.06,0.07,0.085,-0.7,-1.3,No,150
MCC (Micro Commercial Components),SI3407,Active,R H,Single,P,SOT-23,-30,±20,-4.1,0.049,0.065,,-1,-3,No,150
MCC (Micro Commercial Components),SI3407HE3,Active,A R H,Single,P,SOT-23,-30,±20,-4.1,0.049,0.065,,-1,-2.4,No,150
MCC (Micro Commercial Components),BSS84,Active,R H,Single,P,SOT-23,-60,±20,-0.16,7.8,9.5,,-0.9,-2,No,150
MCC (Micro Commercial Components),BSS84HE3,Active,A R H,Single,P,SOT-23,-60,±20,-0.2,3.6,4.7,,-0.9,-2,No,175
MCC (Micro Commercial Components),SI3415,Active,R H,Single,P,SOT-23,-20,±8,-4,,0.05,0.06,-0.3,-1,Yes,150
MCC (Micro Commercial Components),SI3415A,Active,R H,Single,P,SOT-23,-20,±10,-4,,0.045,0.06,-0.35,-0.9,Yes,150
MCC (Micro Commercial Components),SI3139KEA,Active,R H,Single,P,SOT-523,-20,±12,-0.6,,0.85,1.2,-0.35,-1.1,Yes,150
MCC (Micro Commercial Components),SI3139KA,Active,R H,Single,P,SOT-723,-20,±12,-0.66,,0.85,1.2,-0.35,-1.1,Yes,150
MCC (Micro Commercial Components),SI3420A,Active,R H,Single,N,SOT-23,20,±10,6,,0.028,0.035,0.5,1,No,150
MCC (Micro Commercial Components),SI3402,Active,R H,Single,N,SOT-23,30,±12,4,0.027,0.033,0.051,0.6,1.4,No,150
MCC (Micro Commercial Components),MCA03N06,Active,R H,Single,N,SOT-89,60,±20,3,0.1,0.12,,0.65,1.55,No,150
MCC (Micro Commercial Components),MCA03N10,Active,R H,Single,N,SOT-89,100,±20,3,0.14,,,1,2,No,150
MCC (Micro Commercial Components),MCA031N06L,Active,R H,Single,N,SOT-89,60,±20,5,0.031,0.038,,1,2.5,No,150
MCC (Micro Commercial Components),SI2102A,Active,R H,Single,N,SOT-323,20,±10,3,,0.07,0.098,0.55,1,No,150
MCC (Micro Commercial Components),SI2102AHE3,Active,A R H,Single,N,SOT-323,20,±10,2,,0.08,0.098,0.5,1.1,No,150
MCC (Micro Commercial Components),BSS123W,Active,R H,Single,N,SOT-323,100,±20,0.17,6,10,,1,2.8,No,150
MCC (Micro Commercial Components),BSS138W,Active,R H,Single,N,SOT-323,50,±20,0.22,3.5,6,,0.8,1.5,No,150
MCC (Micro Commercial Components),SI2300,Active,R H,Single,N,SOT-23,20,±10,5.2,,0.025,0.038,0.5,0.9,No,150
MCC (Micro Commercial Components),BSS138,Active,R H,Single,N,SOT-23,50,±20,0.22,2.5,3,,0.8,1.5,No,150
MCC (Micro Commercial Components),BSS123,Active,R H,Single,N,SOT-23,100,±20,0.17,6,10,,1,2.8,No,150
MCC (Micro Commercial Components),SI2302,Active,R H,Single,N,SOT-23,20,±8,3,,0.027,0.037,0.65,1.2,No,150
MCC (Micro Commercial Components),SI2302A,Active,R H,Single,N,SOT-23,20,±8,3,,0.032,0.047,0.65,1.2,No,150
MCC (Micro Commercial Components),SI2304,Active,R H,Single,N,SOT-23,30,±20,2.5,0.065,0.09,,1,2,No,150
MCC (Micro Commercial Components),SI2302B,Active,R H,Single,N,SOT-23,20,±10,3,,0.05,0.07,0.55,1.1,No,150
MCC (Micro Commercial Components),BSS138B,Active,R H,Single,N,SOT-23,50,±20,0.6,1.1,1.2,,0.8,1.6,No,150
MCC (Micro Commercial Components),MC7252KDWAS,Active,R H,Dual,N+P,SOT-363S,60/-50,±20,0.34/-0.18,2.5/6.0,3.0/7.0,,1.0/-0.9,2.0/-2.0,Yes,150
MCC (Micro Commercial Components),SI3439KDWAS,Active,R H,Dual,N+P,SOT-363S,20/-20,±12,0.75/-0.6,,0.3/0.85,0.4/1.2,0.35/-0.35,1.1/-1.1,Yes,150
MCC (Micro Commercial Components),SIX3439KA-TPQ2,Active,R H,Dual,N+P,SOT-563,20/-20,±12,0.75/-0.6,,0.3/0.85,0.4/1.2,0.5/-0.5,1.1/-1.1,Yes,150
MCC (Micro Commercial Components),MC7252KDW,Active,R H,Dual,N+P,SOT-363,60/-50,±20,0.34/-0.18,2.5/6,3.0/7.0,,1/-0.9,2.5/-2,Yes,150
MCC (Micro Commercial Components),MC7252KDWA,Active,R H,Dual,N+P,SOT-363,60/-50,±20,0.34/-0.18,2.5/6,3.0/7.0,,1.0/-0.9,2.5/-2,Yes,150
MCC (Micro Commercial Components),SI2429DW,Active,R H,Dual,N+P,SOT-363,20/-20,±10,1.5/-1.0,,0.09/0.150,0.105/0.180,0.55/-0.4,1.1/-1.0,No,150
MCC (Micro Commercial Components),SI3439KDWA,Active,R H,Dual,N+P,SOT-363,20/-20,±12,0.75/-0.6,,0.3/0.85,0.4/1.2,0.35/-0.35,1.1/-1.1,Yes,150
